"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";
"5";"10k";"R-EU_0204/7";"0204/7";"R1, R2, R3, R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"79";"";"R";
"1";"1503_10";"1503_10";"1503_10";"X2";"Jack connectors according to JISC 6560, 3.5 mm";"";"";"";"";"";"1308868";"unknown";"";"0";"";"";
"1";"1N4004";"1N4004";"DO41-10";"D1";"DIODE";"";"";"";"";"";"";"";"";"82";"";"";
"2";"1uF";"CPOL-USE2.5-7";"E2,5-7";"C3, C5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"39-30-1060";"39-30-1060";"MOLEX_39-30-1060";"J1, J2";"Conn Power HDR 6 POS 4.2mm Solder RA Thru-Hole 6 Terminal 1 Port Mini-Fit";"Unavailable";" Connector Header Through Hole, Right Angle 6 position 0.165 _4.20mm_ ";"Molex";"39-30-1060";"";"";"";"None";"";"None";"";
"1";"660uF";"CPOL-USE5-10.5";"E5-10,5";"C4";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"IRFZ44N";"IRFZ44N";"TO-220";"POWER_MOSFET";"";"Unavailable";" N-Channel 55V 49A _Tc_ 3.8W _Ta_, 94W _Tc_ Surface Mount D2PAK ";"Infineon Technologies";"IRFZ44N";"";"";"";"D2PAK NXP Semiconductors";"";"None";"";
"1";"LM358N";"LM358N";"DIL08";"SIGNAL_AMP_";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";"";"";"";"7";"";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"3";"";"";
"1";"SK104-PAD";"SK104-PAD";"SK104-PAD";"KK1";"HEATSINK manufacturer Fischer/distributor Buerklin";"";"";"";"";"";"";"";"";"4";"";"";
